,budget,gross,profit,votes,IMDb score,clusters,cluster
289,20500000.0,2370376.0,-18129624.0,501.0,4.9,0,salmon colored
290,20500000.0,10054150.0,-10445850.0,2000.0,4.7,0,salmon colored
291,20500000.0,9823934.0,-10676066.0,2400.0,5.6,0,salmon colored
292,20500000.0,13111101.0,-7388899.0,5100.0,6.2,0,salmon colored
293,20500000.0,263635.0,-20236365.0,768.0,6.5,0,salmon colored
294,20500000.0,2977706.0,-17522294.0,2000.0,6.3,0,salmon colored
295,4000000.0,6328816.0,2328816.0,1100.0,5.3,0,salmon colored
296,10000000.0,3583513.0,-6416487.0,1800.0,5.7,0,salmon colored
297,20500000.0,6668025.0,-13831975.0,818.0,5.7,0,salmon colored
298,20500000.0,3700.0,-20496300.0,3000.0,7.0,0,salmon colored
299,5000000.0,3792188.0,-1207812.0,1100.0,6.2,0,salmon colored
300,5000000.0,6660333.0,1660333.0,2900.0,5.6,0,salmon colored
301,20500000.0,7241180.0,-13258820.0,2100.0,6.2,0,salmon colored
302,20500000.0,143369.0,-20356631.0,683.0,6.2,0,salmon colored
303,10000000.0,8000000.0,-2000000.0,1300.0,6.5,0,salmon colored
304,20500000.0,1474249.0,-19025751.0,914.0,5.9,0,salmon colored
305,7000000.0,21134374.0,14134374.0,3100.0,6.0,0,salmon colored
306,20500000.0,2914328.0,-17585672.0,322.0,3.5,0,salmon colored
307,13400000.0,2869638.0,-10530362.0,984.0,4.7,0,salmon colored
308,20500000.0,3723036.0,-16776964.0,4100.0,7.4,0,salmon colored
309,20500000.0,16894678.0,-3605322.0,1500.0,5.7,0,salmon colored
310,20500000.0,23671186.0,3171186.0,1400.0,5.8,0,salmon colored
311,20500000.0,42914.0,-20457086.0,3000.0,6.5,0,salmon colored
312,15000000.0,199078.0,-14800922.0,1000.0,6.1,0,salmon colored
313,20500000.0,3178542.0,-17321458.0,538.0,4.4,0,salmon colored
314,20500000.0,8693512.0,-11806488.0,785.0,6.8,0,salmon colored
315,6000000.0,6062898.0,62898.0,1200.0,5.3,0,salmon colored
316,20500000.0,36299720.0,15799720.0,3900.0,7.7,0,salmon colored
